       mindate     maxdate                                                                                                     name  datacoverage    id
145  2011-03-08  2023-05-26                                                   Correlation Coefficient (approx. elev. angle: 1.8 deg)        0.9500   NBC
146  2011-03-08  2023-05-26                                                                          Power Removed Control (1.8 Deg)        0.9500   NBF
147  2011-03-08  2023-05-26                                                      Hydrometeor Classification (approx. elev.: 1.8 deg)        0.9500   NBH
148  2011-03-08  2023-05-26                                                     Specific Differential Phase (approx. elev.: 1.8 deg)        0.9500   NBK
149  1994-05-20  2023-05-26                                                 Digital Base Reflectivity (approx. elev. angle: 1.8 deg)        0.9500   NBQ
150  2011-03-08  2023-05-26                                                 Differential Reflectivity (approx. elev. angle: 1.8 deg)        0.9500   NBX
151  1994-05-20  2023-05-26                                                                     Composite Reflectivity (4x4 km. grid        0.9500   NCR
152  1994-05-20  2023-05-26                                                                     Composite Reflectivity (2x2 km. grid        0.9500   NCZ
153  1994-05-20  2023-05-26                                                                                                Echo Tops        0.9500   NET
154  1994-06-17  2023-05-26                                                                                               Hail Index        0.9500   NHI
155  1994-05-20  2023-05-26                                                                        High Layer Composite Reflectivity        0.9500   NHL
156  1994-05-20  2023-05-26                                                                         Low Layer Composite Reflectivity        0.9500   NLL
157  1994-06-17  2023-05-26                                                                  Digital Mesocyclone Detection Algorithm        0.9500   NMD
158  1994-06-17  2023-05-26                                                                                              Mesocyclone        0.9500   NME
159  1994-05-20  2023-05-26                                                                         Mid Layer Composite Reflectivity        0.9500   NML
160  1994-06-17  2023-05-26                                                                     Hybrid Scan Rain Rate Classification        0.9500   NRR
161  1994-05-20  2023-05-26                                                                       Base Spectrum Width (60 km. range)        0.9500   NSP
162  1994-06-17  2023-05-26                                                                                          Storm Structure        0.9500   NSS
163  1994-06-17  2023-05-26                                                                               Storm Tracking Information        0.9500   NST
164  1994-05-20  2023-05-26                                                                      Base Spectrum Width (230 km. range)        0.9500   NSW
165  1994-06-17  2023-05-26                                                                                Storm Total Precipitation        0.9500   NTP
166  1994-06-17  2023-05-26                                                                                Tornadic Vortex Signature        0.9500   NTV
167  1994-05-20  2023-05-26                                                                               Vertical Integrated Liquid        0.9500   NVL
168  1994-05-20  2023-05-26                                          Correlation Coefficient (256 Level / 300 KM) (-0.5 to -0.1 Deg)        0.9500   NXC
169  2011-03-08  2023-05-26                                                                 Power Removed Control (-0.5 to -0.1 Deg)        0.9500   NXF
170  1994-05-20  2023-05-26                                        Hydrometeor Classification (16 Level / 300 KM) (-0.5 to -0.1 Deg)        0.9500   NXH
171  1994-05-20  2023-05-26                                       Specific Differential Phase (256 Level / 300 KM) (-0.5 to-0.1 Deg)        0.9500   NXK
172  1994-05-20  2023-05-26                                                                Melting Layer (300 KM) (-0.5 to -0.1 Deg)        0.9500   NXM
173  1994-05-20  2023-05-26                                    Short Range Base Reflectivity (256 Level / 230 KM) (-0.5 to -0.1 Deg)        0.9500   NXQ
174  1994-05-20  2023-05-26                                                    Base Velocity (256 Level / 230 KM) (-0.5 to -0.1 Deg)        0.9500   NXU
175  1994-05-20  2023-05-26                                        Differential Reflectivity (256 Level / 300 KM) (-0.5 to -0.1 Deg)        0.9500   NXX
176  1994-05-20  2023-05-26                                            Correlation Coefficient (256 Level / 300 KM) (0.0 to 0.2 Deg)        0.9500   NYC
177  2011-03-08  2023-05-26                                                                   Power Removed Control (0.0 to 0.2 Deg)        0.9500   NYF
178  1994-05-20  2023-05-26                                          Hydrometeor Classification (16 Level / 300 KM) (0.0 to 0.2 Deg)        0.9500   NYH
179  1994-05-20  2023-05-26                                        Specific Differential Phase (256 Level / 300 KM) (0.0 to 0.2 Deg)        0.9500   NYK
180  1994-05-20  2023-05-26                                                                  Melting Layer (300 KM) (0.0 to 0.2 Deg)        0.9500   NYM
181  1994-05-20  2023-05-26                                      Short Range Base Reflectivity (256 Level / 230 KM) (0.0 to 0.2 Deg)        0.9500   NYQ
182  1994-05-20  2023-05-26                                                      Base Velocity (256 Level / 230 KM) (0.0 to 0.2 Deg)        0.9500   NYU
183  1994-05-20  2023-05-26                                          Differential Reflectivity (256 Level / 300 KM) (0.0 to 0.2 Deg)        0.9500   NYX
184  1994-05-20  2023-05-26                                            Correlation Coefficient (256 Level / 300 KM) (0.3 to 0.4 Deg)        0.9500   NZC
185  2011-03-08  2023-05-26                                                                   Power Removed Control (0.3 to 0.4 Deg)        0.9500   NZF
186  1994-05-20  2023-05-26                                          Hydrometeor Classification (16 Level / 300 KM) (0.3 to 0.4 Deg)        0.9500   NZH
187  1994-05-20  2023-05-26                                        Specific Differential Phase (256 Level / 300 KM) (0.3 to 0.4 Deg)        0.9500   NZK
188  1994-05-20  2023-05-26                                                                  Melting Layer (300 KM) (0.3 to 0.4 Deg)        0.9500   NZM
189  1994-05-20  2023-05-26                                      Short Range Base Reflectivity (256 Level / 230 KM) (0.3 to 0.4 Deg)        0.9500   NZQ
190  1994-05-20  2023-05-26                                                      Base Velocity (256 Level / 230 KM) (0.3 to 0.4 Deg)        0.9500   NZU
191  1994-05-20  2023-05-26                                          Differential Reflectivity (256 Level / 300 KM) (0.3 to 0.4 Deg)        0.9500   NZX
192  2011-03-08  2023-05-26                 One Hour Accumulation(One Hour Precipitation total (16 levels) with Dual Pol. algorithm)        0.9500   OHA
193  1948-01-01  2023-05-24                                                                                           Peak gust time        1.0000  PGTM
194  1781-01-01  2023-05-26                                                                                            Precipitation        1.0000  PRCP
195  1965-01-01  2023-03-31                                                        Daily percent of possible sunshine for the period        1.0000  PSUN
196  2011-03-08  2023-05-26           Storm Total Accumulation(Storm Total Precipitation total (16 levels) with Dual Pol. algorithm)        0.9500   PTA
197  1994-05-20  2023-05-26                                                                                      Radar Coded Message        0.9500   RCM
198  1994-05-20  2023-05-26                                                                                 WSR-88D Radar Status Log        0.9500   RSL
199  1982-01-01  2023-04-30                                            Minimum soil temperature with bare ground cover at 5 cm depth        1.0000  SN31
200  1982-01-01  2023-04-30                                           Minimum soil temperature with bare ground cover at 10 cm depth        1.0000  SN32
201  1982-01-01  2023-04-30                                           Minimum soil temperature with bare ground cover at 20 cm depth        1.0000  SN33
202  2005-01-01  2023-03-31                                          Minimum soil temperature with bare ground cover at 100 cm depth        1.0000  SN35
203  2006-03-01  2023-03-31                                          Minimum soil temperature with bare ground cover at 150 cm depth        1.0000  SN36
204  1982-01-01  2023-03-31                                                    Minimum soil temperature with sod cover at 5 cm depth        1.0000  SN51
205  1982-01-01  2023-04-30                                                   Minimum soil temperature with sod cover at 10 cm depth        1.0000  SN52
206  1982-01-01  2023-04-30                                                   Minimum soil temperature with sod cover at 20 cm depth        1.0000  SN53
207  2002-03-01  2023-03-31                                                  Minimum soil temperature with sod cover at 100 cm depth        1.0000  SN55
208  2012-09-27  2023-03-31                                                  Minimum soil temperature with sod cover at 150 cm depth        1.0000  SN56
209  1840-05-01  2023-05-26                                                                                                 Snowfall        1.0000  SNOW
210  1857-01-18  2023-05-26                                                                                               Snow depth        1.0000  SNWD
211  1994-05-20  2023-05-26                                                                          Supplemental Precipitation Data        0.9500   SPD
212  1982-01-01  2023-04-30                                            Maximum soil temperature with bare ground cover at 5 cm depth        1.0000  SX31
213  1982-01-01  2023-04-30                                           Maximum soil temperature with bare ground cover at 10 cm depth        1.0000  SX32
214  1982-01-01  2023-04-30                                           Maximum soil temperature with bare ground cover at 20 cm depth        1.0000  SX33
215  2005-01-01  2023-04-30                                          Maximum soil temperature with bare ground cover at 100 cm depth        0.9882  SX35
216  2011-01-01  2023-04-30                                          Maximum soil temperature with bare ground cover at 150 cm depth        1.0000  SX36
217  1982-01-01  2023-03-31                                                    Maximum soil temperature with sod cover at 5 cm depth        1.0000  SX51
218  1982-01-01  2023-04-30                                                   Maximum soil temperature with sod cover at 10 cm depth        1.0000  SX52
219  1982-01-01  2023-04-30                                                   Maximum soil temperature with sod cover at 20 cm depth        1.0000  SX53
220  2002-03-01  2023-03-31                                                  Maximum soil temperature with sod cover at 100 cm depth        1.0000  SX55
221  2012-09-27  2023-03-31                                                  Maximum soil temperature with sod cover at 150 cm depth        1.0000  SX56
222  1763-01-01  2023-05-26                                                                                     Average Temperature.        1.0000  TAVG
223  1926-03-17  2023-04-25                                                                                Thickness of ice on water        1.0000  THIC
224  1763-01-01  2023-05-26                                                                                      Maximum temperature        1.0000  TMAX
225  1763-01-01  2023-05-26                                                                                      Minimum temperature        1.0000  TMIN
226  1876-11-27  2023-05-26                                                                   Temperature at the time of observation        1.0000  TOBS
227  1994-05-20  2023-05-26                                                                                   TDWR Base Reflectivity        0.9500   TR0
228  1994-05-20  2023-05-26                                                                                   TDWR Base Reflectivity        0.9500   TR1
229  1994-05-20  2023-05-26                                                                                   TDWR Base Reflectivity        0.9500   TR2
230  1965-01-01  2023-04-06                                                                            Total sunshine for the period        1.0000  TSUN
231  1994-05-20  2023-05-26                                                               TDWR Base Velocity (first elevation angle)        0.9500   TV0
232  1994-05-20  2023-05-26                                                              TDWR Base Velocity (second elevation angle)        0.9500   TV1
233  1994-05-20  2023-05-26                                                               TDWR Base Velocity (third elevation angle)        0.9500   TV2
234  1994-05-20  2023-05-26                                                   TDWR Short Range Base Reflectivity (88.9 KM) (ELEV. 1)        0.9500   TZ0
235  1994-05-20  2023-05-26                                                   TDWR Short Range Base Reflectivity (88.9 KM) (ELEV. 2)        0.9500   TZ1
236  1994-05-20  2023-05-26                                                   TDWR Short Range Base Reflectivity (88.9 KM) (ELEV. 3)        0.9500   TZ2
237  1994-05-20  2023-05-26                                                       TDWR Long Range Base Reflectivity (0.6 elev angle)        0.9500   TZL
238  1993-06-01  2023-05-24                                                                       Direction of fastest 2-minute wind        1.0000  WDF2
239  1993-06-01  2023-05-24                                                                       Direction of fastest 5-second wind        1.0000  WDF5
240  1948-01-01  2023-05-25                                                                              Direction of peak wind gust        1.0000  WDFG
241  1859-10-01  2023-04-30                                                                                      Total wind movement        1.0000  WDMV
242  1952-07-01  2023-05-26                                                                   Water equivalent of snow on the ground        1.0000  WESD
243  1998-06-01  2023-05-26                                                                             Water equivalent of snowfall        1.0000  WESF
244  1993-06-01  2023-05-24                                                                              Fastest 2-minute wind speed        1.0000  WSF2
245  1993-06-01  2023-05-24                                                                              Fastest 5-second wind speed        1.0000  WSF5
246  1948-01-01  2023-05-25                                                                                     Peak gust wind speed        1.0000  WSFG
247  1965-01-01  2023-05-25                                                                         Highest instantaneous wind speed        1.0000  WSFI
248  1851-05-19  2023-05-24                                                    Fog, ice fog, or freezing fog (may include heavy fog)        1.0000  WT01
249  1900-12-23  2023-05-24                                    Heavy fog or heaving freezing fog (not always distinguished from fog)        1.0000  WT02
250  1851-04-02  2023-05-24                                                                                                  Thunder        1.0000  WT03
251  1852-02-20  2023-05-03                                                        Ice pellets, sleet, snow pellets, or small hail"         1.0000  WT04
252  1851-04-13  2023-05-24                                                                            Hail (may include small hail)        1.0000  WT05
253  1890-03-28  2023-05-02                                                                                           Glaze or rime         1.0000  WT06
254  1891-12-21  2023-05-21                                   Dust, volcanic ash, blowing dust, blowing sand, or blowing obstruction        1.0000  WT07
255  1851-04-11  2023-05-24                                                                                           Smoke or haze         1.0000  WT08
256  1852-02-12  2023-05-02                                                                                 Blowing or drifting snow        1.0000  WT09
257  1886-03-20  2023-05-04                                                                   Tornado, waterspout, or funnel cloud"         1.0000  WT10
258  1851-04-03  2023-04-30                                                                                   High or damaging winds        1.0000  WT11
